Legislator1, Legislator2, SimilarVotes
W000808,W000808, 7045
W000793,W000793, 2447
Y000062,Y000062, 2227
S348,S348, 5662
S350,S350, 4470
W000792,W000792, 8195
H001041,H001041, 161156
H000213,H000213, 141411
S281,S281, 11424
L000568,L000568, 97522
B000589,B000589, 164276
B001279,B001279, 71416
B001278,B001278, 138341
M001184,M001184, 8942
C001089,C001089, 13336
D000617,D000617, 19580
P000604,P000604, 7617
S353,S353, 337
S264,S264, 15776
S200,S200, 12408
S249,S249, 11045
S265,S265, 11581
S328,S328, 13292
S150,S150, 12653
S222,S222, 12492
S230,S230, 11321
S224,S224, 7458
S329,S329, 7843
S333,S333, 5490
S269,S269, 6122
S161,S161, 2277
S271,S271, 709
S231,S231, 11706
S017,S017, 4391
A000364,A000364, 214220
A000363,A000363, 207394
B001229,B001229, 196409
B001239,B001239, 95405
B001253,B001253, 202150
B000420,B000420, 171694
B000575,B000575, 141733
B001263,B001263, 197890
B001236,B001236, 177281
B000657,B000657, 187622
B000716,B000716, 184879
B001264,B001264, 179062
B001235,B001235, 154775
B001247,B001247, 152699
C001079,C001079, 173287
C000243,C000243, 175621
C001074,C001074, 173172
D000608,D000608, 164504
D000602,D000602, 94552
D000599,D000599, 157025
D000299,D000299, 143105
D000611,D000611, 80694
D000609,D000609, 161034
E000092,E000092, 143921
E000289,E000289, 144493
E000226,E000226, 155056
F000453,F000453, 91665
F000454,F000454, 156005
G000309,G000309, 129566
G000556,G000556, 143147
H001039,H001039, 130823
H001044,H001044, 136666
H001040,H001040, 136708
H001037,H001037, 128698
H001030,H001030, 127195
H001043,H001043, 109889
I000023,I000023, 100699
K000365,K000365, 113671
K000008,K000008, 118211
K000372,K000372, 114166
K000360,K000360, 76615
K000368,K000368, 106278
K000366,K000366, 109527
K000370,K000370, 108721
K000371,K000371, 108575
M001171,M001171, 97032
M001172,M001172, 90695
M001146,M001146, 88971
M001174,M001174, 81213
M001148,M001148, 72286
M001161,M001161, 71958
M001175,M001175, 73568
M001167,M001167, 74406
M000844,M000844, 71027
M001140,M001140, 75011
M001178,M001178, 72014
M001168,M001168, 70966
N000183,N000183, 67076
O000006,O000006, 65121
O000007,O000007, 66310
O000107,O000107, 62218
P000600,P000600, 61225
P000422,P000422, 55453
P000586,P000586, 42564
S001158,S001158, 40517
S001178,S001178, 38892
S001169,S001169, 32537
S001170,S001170, 32231
S000465,S000465, 28029
S000672,S000672, 25275
S001173,S001173, 23110
S000749,S000749, 23376
S001045,S001045, 20473
T000038,T000038, 19002
T000074,T000074, 17704
T000466,T000466, 18286
T000468,T000468, 15471
W000801,W000801, 3524
B001203,B001203, 138780
C001065,C001065, 170012
D000210,D000210, 126644
E000063,E000063, 152127
G000557,G000557, 107148
H000676,H000676, 48897
K000113,K000113, 104062
K000180,K000180, 93147
L000321,L000321, 81368
M000934,M000934, 58897
R000004,R000004, 32089
R000568,R000568, 47896
S000275,S000275, 25791
T000260,T000260, 11671
W000119,W000119, 4361
W000794,W000794, 6784
S001143,S001143, 8118
D000168,D000168, 15159
A000014,A000014, 17748
M001173,M001173, 9809
B001245,B001245, 21688
C000380,C000380, 15512
F000010,F000010, 12172
N000147,N000147, 7306
P000596,P000596, 5534
S001177,S001177, 3999
S334,S334, 643
M001120,M001120, 2985
S336,S336, 1511
S354,S354, 715
S356,S356, 541
S359,S359, 444
S360,S360, 433
S361,S361, 418
S362,S362, 377
S363,S363, 304
S364,S364, 220
S366,S366, 29
S355,S355, 228
S357,S357, 365
S358,S358, 356
S365,S365, 60
B001282,B001282, 7609
B001281,B001281, 7586
B001280,B001280, 7489
B001287,B001287, 7349
B001283,B001283, 6543
B001284,B001284, 7646
B001285,B001285, 7037
B001286,B001286, 7410
C001097,C001097, 5977
C001090,C001090, 6728
C001091,C001091, 6814
C001092,C001092, 7127
C001094,C001094, 6411
C001095,C001095, 5981
C001096,C001096, 6873
D000618,D000618, 6249
D000621,D000621, 6089
D000622,D000622, 5989
E000293,E000293, 5777
F000462,F000462, 5466
G000571,G000571, 4955
H001064,H001064, 5039
H001065,H001065, 4770
H001066,H001066, 4575
J000294,J000294, 4313
J000295,J000295, 4478
K000379,K000379, 3931
K000380,K000380, 4171
K000381,K000381, 4219
K000382,K000382, 4183
L000578,L000578, 4029
L000579,L000579, 3705
L000580,L000580, 3705
M001185,M001185, 3559
M001187,M001187, 3096
M001188,M001188, 3057
M001189,M001189, 3218
M001190,M001190, 2747
M001191,M001191, 2841
N000187,N000187, 2095
O000170,O000170, 2691
P000605,P000605, 2423
P000607,P000607, 2188
R000597,R000597, 2110
R000598,R000598, 1707
R000599,R000599, 1779
S001190,S001190, 1486
S001191,S001191, 1091
S001192,S001192, 1055
S000937,S000937, 935
T000472,T000472, 859
V000130,V000130, 554
V000131,V000131, 509
V000132,V000132, 521
W000812,W000812, 590
W000813,W000813, 511
W000814,W000814, 421
W000816,W000816, 270
Y000065,Y000065, 62
C001093,C001093, 6261
D000619,D000619, 6211
D000620,D000620, 6116
E000292,E000292, 5715
G000572,G000572, 5325
G000573,G000573, 5297
H001067,H001067, 4076
N000127,N000127, 2561
P000608,P000608, 2174
P000606,P000606, 2242
R000596,R000596, 2062
S000018,S000018, 1494
V000129,V000129, 670
W000815,W000815, 350
H001068,H001068, 3531
S001193,S001193, 854
